A,B,C,D,E,F
86,275,252,218,59950,1070
87,63,13,390,24570,1836
88,351,376,233,81783,1136
89,326,318,258,84108,1321
90,411,405,319,131109,1555
91,496,474,293,145328,1450
92,51,16,349,17799,1773
93,447,452,390,174330,1897
94,67,72,368,24656,1733
95,304,281,365,110960,1840
96,359,317,314,112726,1501
97,19,54,329,6251,1637
98,179,156,329,58891,1633
99,314,357,370,116180,1889
100,337,319,361,121657,1751
101,41,60,281,11521,1399
102,384,341,324,124416,1536
103,68,102,259,17612,1222
104,330,367,322,106260,1638
105,330,378,285,94050,1391
106,237,195,212,50244,1006
107,304,325,339,103056,1616
108,70,96,291,20370,1459
109,52,42,305,15860,1468
110,256,300,377,96512,1817
111,289,313,323,93347,1516
112,95,82,282,26790,1298
113,45,70,200,9000,941
114,54,38,248,13392,1188
115,124,75,308,38192,1474
116,372,362,363,135036,1715
117,487,443,400,194800,1965
118,236,192,345,81420,1612
119,409,392,284,116156,1362
120,74,87,227,16798,1038
121,95,45,394,37430,1935
122,279,297,351,97929,1764
123,2,36,204,408,945
124,332,318,226,75032,1062
125,400,421,373,149200,1795
126,147,154,350,51450,1708
127,164,161,213,34932,1049
128,63,59,376,23688,1849
129,484,451,247,119548,1128
130,409,403,273,111657,1270
131,57,25,374,21318,1873
132,246,250,256,62976,1254
133,344,350,361,124184,1715
134,275,301,385,105875,1824
135,409,459,240,98160,1179
136,395,355,344,135880,1733
137,372,406,331,123132,1635
138,141,162,389,54849,1877
139,182,174,364,66248,1844
140,277,297,282,78114,1375
141,27,61,222,5994,1147
142,472,465,344,162368,1747
143,40,49,375,15000,1894
144,177,128,274,48498,1383
145,449,494,206,92494,956
146,99,145,333,32967,1548
147,401,433,314,125914,1543
148,304,304,386,117344,1868
149,466,506,361,168226,1832
150,241,226,221,53261,1119
151,332,358,300,99600,1454
152,427,400,207,88389,1026
153,376,421,386,145136,1925
154,159,109,236,37524,1160
155,49,14,354,17346,1794
156,361,408,234,84474,1076
157,197,177,322,63434,1524
158,370,341,285,105450,1312
159,295,253,370,109150,1877
160,324,355,268,86832,1361
161,391,385,218,85238,991
162,206,183,208,42848,1034
163,232,210,257,59624,1264
164,324,282,380,123120,1837
165,65,27,269,17485,1379
166,283,260,231,65373,1092
167,346,332,344,119024,1655
168,149,132,320,47680,1572
169,239,242,263,62857,1308
170,460,464,386,177560,1965
171,303,308,361,109383,1763
172,291,248,363,105633,1731
173,231,234,374,86394,1776
174,278,316,396,110088,2012
175,81,127,247,20007,1160
176,320,277,319,102080,1504
177,7,10,360,2520,1711
178,49,31,343,16807,1750
179,419,385,260,108940,1322
180,63,84,227,14301,1137
181,240,197,238,57120,1195
182,75,31,270,20250,1231
183,226,184,231,52206,1051
184,394,359,305,120170,1484
185,213,183,202,43026,927
186,53,50,249,13197,1219
187,48,73,371,17808,1776
188,153,171,339,51867,1605
189,210,248,267,56070,1241
190,133,159,262,34846,1340
191,355,367,339,120345,1622
192,187,168,210,39270,1063
193,202,216,267,53934,1285
194,468,472,262,122616,1305
195,172,142,302,51944,1421
196,299,339,230,68770,1083
197,230,275,390,89700,1834
198,376,426,371,139496,1806
199,486,488,290,140940,1480
200,259,297,269,69671,1312
201,281,244,322,90482,1582
202,342,368,322,110124,1526
203,424,451,244,103456,1207
204,307,351,337,103459,1610
205,308,325,281,86548,1412
206,337,339,285,96045,1333
207,496,541,327,162192,1651
208,233,216,293,68269,1376
209,402,405,248,99696,1273
210,47,52,293,13771,1381
211,63,92,336,21168,1589
212,107,127,393,42051,1968
213,203,196,388,78764,1879
214,387,360,260,100620,1200
215,237,272,259,61383,1219
216,19,-29,315,5985,1547
217,290,297,334,96860,1574
218,170,141,314,53380,1584
219,183,187,262,47946,1345
220,59,80,226,13334,1133
221,207,203,371,76797,1895
222,92,120,289,26588,1478
223,430,423,264,113520,1241
224,197,218,348,68556,1758
225,382,383,372,142104,1871
226,332,309,329,109228,1638
227,1,-11,368,368,1748
228,320,276,234,74880,1105
229,412,429,369,152028,1870
230,334,297,278,92852,1272
231,141,190,305,43005,1563
232,484,500,321,155364,1597
233,131,108,258,33798,1223
234,324,360,253,81972,1229
235,44,48,351,15444,1692
236,436,420,219,95484,1058
237,457,435,241,110137,1211
238,387,407,250,96750,1189
239,405,393,215,87075,1095
240,178,187,305,54290,1540
241,221,253,214,47294,1009
242,240,267,311,74640,1501
243,442,414,344,152048,1678
244,496,493,400,198400,1911
245,122,105,211,25742,1045
246,112,92,233,26096,1151
247,285,245,218,62130,1001
248,316,303,234,73944,1140
249,490,457,274,134260,1403
250,158,121,326,51508,1577
251,394,415,397,156418,1975
252,85,132,250,21250,1161
253,32,71,214,6848,970
254,176,206,329,57904,1576
255,242,204,231,55902,1146
256,110,139,283,31130,1339
257,149,146,236,35164,1178
258,174,160,311,54114,1471
259,447,421,240,107280,1142
260,78,68,314,24492,1609
261,302,278,314,94828,1480
262,455,468,267,121485,1271
263,412,431,313,128956,1588
264,44,25,312,13728,1515
265,414,399,258,106812,1227
266,44,26,375,16500,1875
267,441,397,260,114660,1264
268,245,244,248,60760,1233
269,37,67,202,7474,1004
270,361,357,210,75810,975
271,191,199,267,50997,1350
272,60,42,301,18060,1465
273,129,133,222,28638,1063
274,37,-4,305,11285,1505
275,135,118,278,37530,1270
276,360,312,341,122760,1633
277,132,166,212,27984,992
278,200,167,233,46600,1115
279,182,214,230,41860,1080
280,400,419,361,144400,1720
281,356,371,304,108224,1454
282,268,305,239,64052,1235
283,420,435,354,148680,1728
284,386,337,242,93412,1117
285,334,317,346,115564,1655
286,337,302,214,72118,986
287,124,79,303,37572,1525
288,287,269,309,88683,1507
289,356,323,398,141688,2019
290,248,214,309,76632,1465
291,149,163,230,34270,1058
292,320,273,373,119360,1885
293,288,244,245,70560,1148
294,411,366,394,161934,1907
295,495,535,262,129690,1230
296,2,15,327,654,1642
297,474,435,287,136038,1350
298,116,110,247,28652,1140
299,324,322,330,106920,1596
300,228,269,363,82764,1831
301,95,89,378,35910,1880
302,249,204,252,62748,1244
303,187,219,252,47124,1194
304,328,346,227,74456,1067
305,250,221,279,69750,1411
306,366,342,372,136152,1772
307,488,499,326,159088,1594
308,223,249,249,55527,1230
309,44,39,391,17204,1890
310,500,541,251,125500,1137
311,108,137,382,41256,1898
312,358,367,380,136040,1849
313,42,83,374,15708,1908
314,185,208,278,51430,1411
315,328,370,283,92824,1361
316,456,438,245,111720,1207
317,247,267,238,58786,1094
318,268,265,377,101036,1851
319,411,434,388,159468,1836
320,34,62,309,10506,1431
321,360,333,234,84240,1187
322,497,519,284,141148,1305
323,465,461,255,118575,1251
324,137,118,397,54389,1907
325,288,313,212,61056,979
326,71,107,228,16188,1075
327,450,435,234,105300,1065
328,304,290,371,112784,1737
329,17,58,234,3978,1083
330,445,408,352,156640,1789
331,221,259,362,80002,1705
332,167,169,265,44255,1290
333,266,297,283,75278,1364
334,194,194,290,56260,1352
335,59,43,292,17228,1491
336,129,145,285,36765,1384
337,193,168,377,72761,1795
338,477,502,335,159795,1709
339,165,214,217,35805,1084
340,98,96,322,31556,1515
341,412,451,200,82400,940
342,350,333,389,136150,1873
343,294,258,202,59388,1000
344,62,42,342,21204,1662
345,205,204,297,60885,1409
346,42,-8,340,14280,1625
347,189,146,335,63315,1694
348,2,26,368,736,1774
349,237,268,280,66360,1309
350,302,285,233,70366,1167
351,171,161,321,54891,1520
352,344,392,300,103200,1480
353,174,200,388,67512,1822
354,487,497,295,143665,1410
355,191,144,332,63412,1557
356,457,436,248,113336,1142
357,142,110,357,50694,1726
358,84,81,379,31836,1915
359,470,495,261,122670,1246
360,352,316,345,121440,1729
361,16,-16,214,3424,1075
362,192,160,264,50688,1323
363,469,446,266,124754,1331
364,123,89,332,40836,1555
365,474,492,384,182016,1949
366,271,266,300,81300,1475
367,65,38,292,18980,1393
368,308,273,388,119504,1902
369,224,192,366,81984,1766
370,189,187,262,49518,1338
371,169,169,261,44109,1306
372,374,376,313,117062,1555
373,470,425,293,137710,1471
374,415,420,367,152305,1795
375,149,180,345,51405,1729
376,219,198,278,60882,1346
377,479,451,333,159507,1610
378,321,362,266,85386,1323
379,22,41,399,8778,1970
380,4,42,204,816,917
381,283,297,349,98767,1649
382,53,11,305,16165,1410
383,18,-1,200,3600,902
384,303,254,200,60600,992
385,51,52,257,13107,1206
386,304,269,322,97888,1606
387,244,229,259,63196,1188
388,426,469,375,159750,1775
389,107,67,201,21507,988
390,31,46,201,6231,990
391,130,144,316,41080,1498
392,143,101,388,55484,1892
393,289,331,246,71094,1190
394,98,90,313,30674,1533
395,111,71,349,38739,1757
396,195,147,357,69615,1705
397,263,307,319,83897,1595
398,425,408,376,159800,1885
399,467,431,346,161582,1741
400,150,152,267,40050,1242
401,369,363,239,88191,1204
402,56,10,344,19264,1652
403,173,208,333,57609,1572
404,461,430,313,144293,1570
405,371,412,390,144690,1945
406,203,175,239,48517,1151
407,307,289,318,97626,1627
408,39,86,201,7839,919
409,162,112,397,64314,1950
410,56,95,396,22176,1953
411,252,295,392,98784,1901
412,315,352,376,118440,1784
413,125,126,291,36375,1355
414,23,15,204,4692,958
415,78,75,365,28470,1795
416,346,316,307,106222,1544
417,401,362,206,82606,1060
418,276,309,304,83904,1465
419,254,278,332,84328,1590
420,486,441,288,139968,1357
421,408,415,339,138312,1627
422,326,278,349,113774,1748
423,344,322,367,126248,1715
424,231,194,246,56826,1152
425,454,450,263,119402,1195
426,208,208,330,68640,1674
427,273,294,216,58968,1104
428,44,88,347,15268,1660
429,363,406,372,135036,1833
430,88,66,204,17952,903
431,102,134,263,26826,1316
432,166,185,278,46148,1370
433,142,95,216,30672,1006
434,394,364,294,115836,1383
435,313,352,381,119253,1911
436,10,-26,286,2860,1402
437,136,96,370,50320,1819
438,9,6,393,3537,1877
439,68,113,213,14484,1092
440,264,303,254,67056,1275
441,386,363,304,117344,1428
442,27,14,319,8613,1559
443,281,329,267,75027,1229
444,92,59,252,23184,1218
445,333,349,391,130203,1943
446,380,371,389,147820,1860
447,50,80,267,13350,1304
448,291,338,352,102432,1721
449,124,118,245,30380,1179
450,20,27,316,6320,1534
451,349,315,284,99116,1323
452,127,93,248,31496,1241
453,391,362,383,149753,1830
454,124,152,325,40300,1652
455,296,313,255,75480,1311
456,85,36,318,27030,1487
457,397,424,299,118703,1432
458,448,461,225,100800,1096
459,178,140,234,41652,1064
460,189,207,275,51975,1311
461,440,444,346,152240,1705
462,195,184,241,46995,1138
463,11,20,400,4400,1937
464,151,155,230,34730,1041
465,477,430,335,159795,1604
466,276,300,222,61272,1091
467,133,147,254,33782,1262
468,394,377,209,82346,1028
469,167,120,337,56279,1708
470,281,300,387,108747,1871
471,21,-14,231,4851,1114
472,417,379,377,157209,1821
473,136,152,289,39304,1475
474,389,358,367,142763,1734
475,193,170,284,54812,1454
476,495,484,372,184140,1855
477,199,204,249,49551,1217
478,64,46,394,25216,1859
479,30,10,306,9180,1450
480,458,463,250,114500,1188
481,408,379,206,84048,920
482,405,413,365,147825,1784
483,401,361,389,155989,1908
484,304,329,293,89072,1394
485,123,168,214,26322,1093
486,180,159,301,54180,1500
487,85,50,375,31875,1842
488,10,13,269,2690,1276
489,422,421,388,163736,1898
490,343,354,294,100842,1450
491,393,355,311,122223,1506
492,20,-18,262,5240,1288
493,145,180,269,39005,1363
494,357,314,378,134946,1782
495,296,304,244,72224,1146
496,417,416,227,94659,1073
497,319,306,270,86130,1322
498,314,356,371,116494,1763
499,184,195,227,41768,1047
500,493,467,350,172550,1707
501,476,485,377,179452,1782
502,74,118,363,26862,1818
503,299,277,367,109733,1767
504,182,135,361,65702,1782
505,166,134,283,46978,1381
506,117,94,222,25974,1096
507,321,371,374,120054,1828
508,406,426,340,138040,1694
509,479,435,223,106817,1059
510,293,317,276,80868,1281
511,276,274,326,89976,1517
512,451,414,359,161909,1746
513,367,348,204,74868,1007
514,433,437,357,154581,1753
515,312,329,330,102960,1611
516,241,242,222,53502,1083
517,248,292,389,96472,1828
518,385,372,263,101255,1238
519,36,2,296,10656,1474
520,222,187,368,81696,1827
521,381,430,391,148971,1947
522,150,102,351,52650,1752
523,440,453,209,91960,997
524,31,-15,365,11315,1707
525,243,235,200,48600,890
526,445,420,323,143735,1540
527,215,229,250,53750,1152
528,223,270,290,64670,1450
529,500,492,262,131000,1254
530,235,206,269,63215,1243
531,179,148,283,50657,1433
532,278,302,346,96188,1632
533,334,312,391,130594,1897
534,207,252,318,65826,1588
535,389,433,222,86358,1032
536,19,64,287,5453,1336
537,208,225,384,79872,1852
538,296,261,206,60976,964
539,497,521,322,160034,1643
540,123,90,224,27552,1148
541,290,291,253,73370,1236
542,403,370,327,131781,1613
543,329,351,221,72709,1080
544,55,51,386,21230,1837
545,264,246,386,101904,1846
546,109,124,326,35534,1668
547,212,171,329,69748,1582
548,482,460,393,189426,1998
549,219,223,209,45771,984
550,449,410,354,158946,1771
551,459,485,353,162027,1763
552,280,320,296,82880,1461
553,364,364,305,111020,1454
554,190,145,330,62700,1667
555,47,66,305,14335,1436
556,482,471,301,145082,1390
557,192,202,316,60672,1612
558,226,204,202,45652,960
559,3,15,292,876,1479
560,25,17,211,5275,966
561,496,476,280,138880,1298
562,346,336,358,123868,1811
563,35,41,224,7840,1129
564,103,76,356,36668,1792
565,43,54,275,11825,1412
566,500,458,291,145500,1392
567,431,462,282,121542,1443
568,376,426,260,97760,1205
569,124,149,343,42532,1738
570,150,198,270,40500,1288
571,142,129,355,50410,1668
572,339,296,315,106785,1490
573,13,-25,285,3705,1425
574,360,394,375,135000,1756
575,300,342,206,61800,965
576,379,388,364,137956,1846
577,225,189,223,50175,1086
578,475,437,266,126350,1304
579,80,41,356,28480,1764
580,333,295,360,119880,1770
581,145,134,316,45820,1571
582,242,222,307,74294,1574
583,82,112,352,28864,1749
584,292,244,218,63656,1101
585,138,156,285,39330,1341
586,320,308,246,78720,1118
587,290,297,211,61190,982
588,344,302,310,106640,1527
589,177,151,227,40179,1075
590,27,72,373,10071,1889
591,479,498,312,149448,1484
592,15,38,245,3675,1226
593,314,277,249,78186,1275
594,48,12,243,11664,1109
595,479,487,271,129809,1319
596,155,203,238,36890,1181
597,36,85,293,10548,1393
598,266,239,289,76874,1447
599,442,422,353,156026,1749
600,438,394,242,105996,1194
601,499,474,388,193612,1902
602,448,479,376,168448,1857
603,311,266,280,87080,1284
604,51,87,252,12852,1147
605,362,325,258,93396,1325
606,302,289,376,113552,1827
607,284,273,212,60208,1016
608,471,484,333,156843,1589
609,217,183,381,82677,1853
610,361,333,207,74727,1064
611,282,249,351,98982,1714
612,13,61,354,4602,1710
613,28,9,291,8148,1412
614,187,236,328,61336,1548
615,483,485,200,96600,886
616,490,452,258,126420,1320
617,187,226,270,50490,1318
618,25,-23,240,6000,1205
619,223,210,346,77158,1734
620,480,435,311,149280,1582
621,140,158,315,44100,1462
622,393,379,306,120258,1486
623,371,363,284,105364,1331
624,149,150,341,50809,1695
625,156,146,360,56160,1798
626,442,441,375,165750,1768
627,166,163,332,55112,1670
628,190,212,242,45980,1103
629,132,147,375,49500,1782
630,335,366,262,87770,1293
631,498,476,220,109560,1106
632,141,166,349,49209,1702
633,380,418,366,139080,1854
634,127,103,221,28067,1026
635,41,43,390,15990,1981
636,41,19,238,9758,1229
637,328,325,327,107256,1529
638,493,449,318,156774,1607
639,34,63,317,10778,1532
640,214,252,334,71476,1680
641,264,234,319,84216,1482
642,199,235,213,42387,1033
643,106,152,236,25016,1165
644,290,331,383,111070,1890
645,302,313,326,98452,1521
646,370,399,356,131720,1815
647,173,219,384,66432,1957
648,154,156,283,43582,1407
649,436,486,399,173964,2019
650,236,286,384,90624,1956
651,333,334,241,80253,1196
652,417,412,237,98829,1112
653,44,35,335,14740,1663
654,7,35,330,2310,1593
655,131,167,247,32357,1118
656,152,168,208,31616,962
657,392,346,245,96040,1116
658,437,400,231,100947,1158
659,490,474,204,99960,943
660,187,228,233,43571,1166
661,67,105,273,18291,1332
662,182,164,339,61698,1700
663,115,159,204,23460,913
664,433,385,281,121673,1303
665,339,309,244,82716,1187
666,460,495,252,115920,1162
667,156,203,301,46956,1390
668,324,343,221,71604,1069
669,484,434,243,117612,1140
670,281,314,326,91606,1625
671,40,78,311,12440,1557
672,211,191,385,81235,1817
673,268,227,219,58692,1024
674,71,69,206,14626,1046
675,216,255,387,83592,1878
676,248,251,302,74896,1535
677,272,247,306,83232,1563
678,480,448,371,178080,1756
679,170,186,256,43520,1255
680,361,380,376,135736,1852
681,224,252,262,58688,1304
682,388,395,324,125712,1581
683,196,176,342,67032,1602
684,57,28,343,19551,1670
685,35,4,335,11725,1573
686,15,-9,252,3780,1232
687,240,249,352,84480,1699
688,479,467,210,100590,977
689,41,78,334,13694,1700
690,285,320,201,57285,932
691,118,71,204,24072,974
692,205,164,253,51865,1185
693,15,19,393,5895,1896
694,66,57,374,24684,1761
695,482,502,360,173520,1687
696,320,364,274,87680,1287
697,114,123,392,44688,1947
698,401,438,246,98646,1239
699,113,83,203,22939,1013
700,244,219,355,86620,1666
701,223,262,261,58203,1278
702,112,82,396,44352,1970
703,254,237,308,78232,1424
704,192,169,369,70848,1872
705,305,315,328,100040,1586
706,404,382,248,100192,1230
707,134,152,313,41942,1496
708,345,355,222,76590,1076
709,13,17,239,3107,1112
710,197,184,253,49841,1154
711,483,510,272,131376,1278
712,100,126,293,29300,1426
713,118,91,272,32096,1367
714,426,436,321,136746,1503
715,389,373,339,131871,1626
716,26,-15,383,9958,1805
717,183,196,361,66063,1715
718,494,539,227,112138,1117
719,470,472,302,141940,1490
720,86,108,259,22274,1234
721,471,519,275,129525,1256
722,326,357,286,93236,1371
723,231,236,253,58443,1233
724,275,306,335,92125,1561
725,108,82,380,41040,1935
726,42,49,390,16380,1988
727,480,481,339,162720,1660
728,386,366,246,94956,1163
729,431,463,378,162918,1783
730,446,441,248,110608,1167
731,317,303,336,106512,1666
732,245,274,284,69580,1429
733,70,62,264,18480,1341
734,94,79,242,22748,1238
735,122,120,248,30256,1188
736,253,280,395,99935,1911
737,265,304,389,103085,1961
738,221,173,379,83759,1853
739,239,194,252,60228,1279
740,41,34,228,9348,1146
741,71,113,337,23927,1703
742,344,311,287,98728,1394
743,474,506,321,152154,1629
744,238,242,273,64974,1351
745,267,274,335,89445,1669
746,65,106,332,21580,1694
747,48,16,361,17328,1795
748,419,400,377,157963,1855
749,164,210,362,59368,1712
750,390,357,260,101400,1228
751,431,408,306,131886,1439
752,487,531,371,180677,1796
753,398,362,246,97908,1264
754,119,86,302,35938,1444
755,114,70,342,38988,1711
756,212,237,237,50244,1144
757,71,121,278,19738,1350
758,490,453,280,137200,1290
759,389,392,293,113977,1361
760,449,480,269,120781,1294
761,418,458,374,156332,1786
762,109,104,370,40330,1774
763,427,402,302,128954,1480
764,478,446,365,174470,1724
765,420,427,206,86520,1039
766,272,286,285,77520,1360
767,362,388,344,124528,1624
768,144,131,210,30240,1026
769,289,300,366,105774,1789
770,178,208,337,59986,1662
771,57,75,384,21888,1834
772,472,515,219,103368,1051
773,44,85,302,13288,1465
774,462,480,337,155694,1663
775,472,438,299,141128,1396
776,29,6,230,6670,1085
777,234,193,305,71370,1557
778,372,385,305,113460,1482
779,347,358,280,97160,1380
780,417,433,214,89238,1021
781,27,58,388,10476,1828
782,268,284,309,82812,1547
783,59,10,397,23423,2011
784,119,99,217,25823,967
785,45,84,266,11970,1217
786,464,427,283,131312,1429
787,295,286,239,70505,1116
788,416,382,387,160992,1822
789,391,394,213,83283,988
790,446,496,371,165466,1843
791,128,91,302,38656,1535
792,252,266,210,52920,1084
793,52,17,350,18200,1722
794,361,313,225,81225,1091
795,406,375,388,157528,1974
796,227,233,213,48351,1082
797,271,316,238,64498,1194
798,407,453,334,135938,1707
799,331,340,319,105589,1531
800,493,446,360,177480,1824
801,468,493,357,167076,1798
802,361,411,257,92777,1217
803,451,422,234,105534,1101
804,255,227,256,65280,1303
805,107,114,395,42265,1961
806,218,180,311,67798,1577
807,455,438,385,175175,1943
808,249,220,374,93126,1755
809,437,393,348,152076,1670
810,29,64,229,6641,1095
811,206,164,352,72512,1660
812,26,47,200,5200,950
813,334,325,329,109886,1529
814,173,140,322,55706,1635
815,22,47,340,7480,1617
816,179,220,390,69810,1988
817,293,283,376,110168,1835
818,247,295,265,65455,1351
819,152,121,206,31312,1034
820,495,462,212,104940,962
821,71,49,332,23572,1580
822,466,445,247,115102,1161
823,398,437,268,106664,1259
824,116,82,300,34800,1391
825,243,274,397,96471,1974
826,356,369,223,79388,1115
827,475,515,383,181925,1795
828,348,396,387,134676,1826
829,52,2,335,17420,1573
830,183,182,298,54534,1491
831,475,479,216,102600,1116
832,267,265,345,92115,1644
833,273,294,250,68250,1218
834,170,195,251,42670,1293
835,61,38,358,21838,1818
836,482,440,365,175930,1733
837,317,341,271,85907,1287
838,248,287,341,84568,1718
839,2,47,287,574,1419
840,56,98,260,14560,1313
841,115,106,263,30245,1232
842,140,108,261,36540,1233
843,308,282,357,109956,1669
844,360,322,204,73440,972
845,85,106,396,33660,1862
846,313,356,319,99847,1597
847,75,93,224,16800,1124
848,442,450,263,116246,1280
849,22,14,271,5962,1377
850,365,390,312,113880,1545
851,181,203,246,44526,1221
852,80,120,210,16800,1033
853,314,298,265,83210,1304
854,197,149,362,71314,1790
855,457,464,287,131159,1351
856,493,517,219,107967,1102
857,125,92,261,32625,1245
858,261,250,327,85347,1626
859,106,59,285,30210,1448
860,61,27,329,20069,1554
861,383,415,252,96516,1211
862,478,443,395,188810,1919
863,122,147,290,35380,1381
864,7,-1,349,2443,1686
865,485,467,236,114460,1129
866,454,432,317,143918,1514
867,346,333,236,81656,1130
868,459,423,204,93636,930
869,153,121,378,57834,1882
870,401,358,321,128721,1608
871,477,471,382,182214,1828
872,349,302,305,106445,1444
873,350,376,362,126700,1770
874,405,392,214,86670,993
875,278,303,340,94520,1661
876,59,107,226,13334,1064
877,315,278,374,117810,1790
878,399,384,238,94962,1087
879,309,352,251,77559,1185
880,292,251,262,76504,1276
881,450,402,293,131850,1362
882,482,507,218,105076,1000
883,208,213,247,51376,1128
884,49,18,245,12005,1210
885,329,312,343,112847,1634
886,349,398,293,102257,1421
887,44,62,206,9064,938
888,146,129,357,52122,1684
889,493,499,255,125715,1306
890,375,342,225,84375,1066
891,338,380,229,77402,1182
892,311,271,299,92989,1404
893,28,47,304,8512,1485
894,420,398,238,99960,1164
895,259,256,231,59829,1063
896,250,206,340,85000,1632
897,497,449,246,122262,1126
898,39,70,262,10218,1277
899,189,224,376,71064,1785
900,179,226,340,60860,1726
901,370,417,288,106560,1381
902,440,436,281,123640,1306
903,313,302,361,112993,1745
904,102,88,292,29784,1482
905,124,172,224,27776,1041
906,97,119,225,21825,1048
907,324,358,379,122796,1909
908,383,397,330,126390,1646
909,254,205,400,101600,1893
910,424,445,239,101336,1122
911,18,48,381,6858,1944
912,289,332,225,65025,1074
913,340,347,276,93840,1275
914,352,307,340,119680,1669
915,91,139,362,32942,1723
916,327,324,312,102024,1562
917,390,392,276,107640,1291
918,214,224,253,54142,1194
919,480,483,203,97440,998
920,349,348,330,115170,1606
921,15,31,221,3315,1033
922,267,251,211,56337,936
923,453,466,292,132276,1488
924,120,127,213,25560,993
925,76,113,309,23484,1515
926,270,242,272,73440,1381
927,62,41,384,23808,1810
928,212,257,381,80772,1812
929,451,476,365,164615,1741
930,140,114,245,34300,1195
931,367,382,298,109366,1472
932,91,137,272,24752,1395
933,90,69,351,31590,1694
934,316,300,374,118184,1798
935,5,-7,289,1445,1418
936,393,434,238,93534,1208
937,139,120,345,47955,1674
938,25,45,290,7250,1449
939,32,-12,352,11264,1773
940,305,273,382,116510,1945
941,254,265,223,56642,1100
942,304,313,222,67488,1124
943,112,136,277,31024,1340
944,494,481,294,145236,1445
945,200,171,368,73600,1862
946,169,182,347,58643,1717
947,102,76,391,39882,1869
948,324,289,260,84240,1270
949,108,143,395,42660,1934
950,423,373,372,157356,1896
951,70,37,206,14420,1049
952,478,481,330,157740,1554
953,258,290,295,76110,1508
954,451,469,372,167772,1749
955,415,442,237,98355,1118
956,340,366,265,90100,1231
957,92,130,366,33672,1820
958,70,37,283,19810,1313
959,5,17,278,1390,1290
960,426,419,237,100962,1168
961,105,91,389,40845,1940
962,234,235,210,49140,1011
963,4,24,398,1592,1905
964,467,423,334,155978,1659
965,213,255,270,57510,1347
966,104,108,215,22360,983
967,350,392,285,99750,1366
968,5,-24,202,1010,970
969,205,219,261,53505,1254
970,302,328,262,79124,1271
971,31,41,281,8711,1348
972,408,400,290,118320,1432
973,257,246,386,99202,1871
974,46,11,252,11592,1221
975,99,53,272,26928,1253
976,133,171,279,37107,1330
977,313,344,393,123009,1946
978,350,397,353,123550,1791
979,111,80,293,32523,1396
980,365,333,287,104755,1396
981,165,186,204,33660,995
982,16,-15,204,3264,905
983,430,405,308,132440,1464
984,426,451,319,135894,1520
985,364,370,393,143052,1879
986,129,96,279,35991,1316
987,473,431,250,118250,1229
988,438,483,330,144540,1552
989,443,398,391,173213,1882
990,245,205,339,83055,1646
991,42,86,377,15834,1846
992,172,221,238,40936,1175
993,208,245,211,43888,1057
994,9,0,389,3501,1849
995,345,361,385,132825,1840
996,56,59,211,11816,1081
997,334,350,331,110554,1550
998,385,427,255,98175,1276
999,483,504,228,110124,1089
1000,385,393,232,89320,1196
